"","tdt","SST_tdt","PV_tdt","AreaMmsq","Layers","Brainno","imagename","Genotype","Age","Sex"
"1",0,0,0,0.22009,"L1","B1","061015-Dlx-p21_s001","DlxTdt","p21",NA
"2",6,2,1,0.43171,"L23","B1","061015-Dlx-p21_s001","DlxTdt","p21",NA
"3",4,3,0,0.26725,"L4","B1","061015-Dlx-p21_s001","DlxTdt","p21",NA
"4",10,6,2,0.37729,"L5","B1","061015-Dlx-p21_s001","DlxTdt","p21",NA
"5",3,2,0,0.45468,"L6","B1","061015-Dlx-p21_s001","DlxTdt","p21",NA
"6",0,0,0,0.098621,"L1","B1","061015-Dlx-p21_s002","DlxTdt","p21",NA
"7",2,0,1,0.29586,"L23","B1","061015-Dlx-p21_s002","DlxTdt","p21",NA
"8",8,1,3,0.18188,"L4","B1","061015-Dlx-p21_s002","DlxTdt","p21",NA
"9",7,2,0,0.25464,"L5","B1","061015-Dlx-p21_s002","DlxTdt","p21",NA
"10",2,0,0,0.35972,"L6","B1","061015-Dlx-p21_s002","DlxTdt","p21",NA
"11",0,0,0,0.19236,"L1","B1","061015-Dlx-p21_s003","DlxTdt","p21",NA
"12",9,3,0,0.46386,"L23","B1","061015-Dlx-p21_s003","DlxTdt","p21",NA
"13",6,2,3,0.24471,"L4","B1","061015-Dlx-p21_s003","DlxTdt","p21",NA
"14",9,2,3,0.3762,"L5","B1","061015-Dlx-p21_s003","DlxTdt","p21",NA
"15",5,2,1,0.49064,"L6","B1","061015-Dlx-p21_s003","DlxTdt","p21",NA
"16",0,0,0,0.212,"L1","B1","061015-Dlx-p21_s004","DlxTdt","p21",NA
"17",14,8,0,0.45268,"L23","B1","061015-Dlx-p21_s004","DlxTdt","p21",NA
"18",9,5,2,0.2544,"L4","B1","061015-Dlx-p21_s004","DlxTdt","p21",NA
"19",6,3,2,0.40779,"L5","B1","061015-Dlx-p21_s004","DlxTdt","p21",NA
"20",5,0,1,0.56616,"L6","B1","061015-Dlx-p21_s004","DlxTdt","p21",NA
"21",0,0,0,0.11983,"L1","B1","061015-Dlx-p21_s005","DlxTdt","p21",NA
"22",7,3,2,0.28155,"L23","B1","061015-Dlx-p21_s005","DlxTdt","p21",NA
"23",9,3,3,0.17094,"L4","B1","061015-Dlx-p21_s005","DlxTdt","p21",NA
"24",6,2,1,0.32177,"L5","B1","061015-Dlx-p21_s005","DlxTdt","p21",NA
"25",3,2,0,0.40556,"L6","B1","061015-Dlx-p21_s005","DlxTdt","p21",NA
"26",0,0,0,0.21664,"L1","B1","061015-Dlx-p21_s006","DlxTdt","p21",NA
"27",7,6,1,0.44385,"L23","B1","061015-Dlx-p21_s006","DlxTdt","p21",NA
"28",10,6,3,0.26552,"L4","B1","061015-Dlx-p21_s006","DlxTdt","p21",NA
"29",10,6,0,0.47556,"L5","B1","061015-Dlx-p21_s006","DlxTdt","p21",NA
"30",5,4,0,0.65125,"L6","B1","061015-Dlx-p21_s006","DlxTdt","p21",NA
