"area","cellmarker","ratiotodapi","n"
"F5","Tbr2",0.2852315861,"S1"
"F5","Tbr2",0.4564375959,"S2"
"F5","Tbr2",0.3303894784,"S3"
"F4","Tbr2",0.3026246872,"S1"
"F4","Tbr2",0.2976131426,"S2"
"F4","Tbr2",0.4349321304,"S3"
"F3","Tbr2",0.0876757651,"S1"
"F3","Tbr2",0.1339732393,"S2"
"F3","Tbr2",0.1432824415,"S3"
"F2","Tbr2",0.0102921248,"S1"
"F2","Tbr2",0.0069242487,"S2"
"F2","Tbr2",0.011132345,"S3"
"F1","Tbr2",0.0811482477,"S1"
"F1","Tbr2",0.0768065542,"S2"
"F1","Tbr2",0.0781085075,"S3"
"F5","Tdt",0.0065822674,"S1"
"F5","Tdt",0.0109545023,"S2"
"F5","Tdt",0.0063536438,"S3"
"F4","Tdt",0.0019399018,"S1"
"F4","Tdt",0,"S2"
"F4","Tdt",0.0020229401,"S3"
"F3","Tdt",0.0082712986,"S1"
"F3","Tdt",0.0033917276,"S2"
"F3","Tdt",0.012736217,"S3"
"F2","Tdt",0.0085767707,"S1"
"F2","Tdt",0.019041684,"S2"
"F2","Tdt",0.0074215634,"S3"
"F1","Tdt",0.1065070751,"S1"
"F1","Tdt",0.0554714002,"S2"
"F1","Tdt",0.0548870593,"S3"
