"","Length_n_t","D1","Brainno","imagename","Genotype","Age","Sex"
"1",34.3804948789994,349.859512371975,"070316-B1","MAX_070316-M91-B1-HO_c003","Mafb-fl/fl","p21","female/male"
"2",30.3453276534034,277.349768875193,"070316-B1","MAX_070316-M91-B1-HO_c004","Mafb-fl/fl","p21","female/male"
"3",27.0198495422822,317.230127798423,"070316-B1","MAX_070316-M91-B1-HO_c007","Mafb-fl/fl","p21","female/male"
"4",30.3389830508475,349.859512371975,"070316-B1","MAX_070316-M91-B1-HO_c011","Mafb-fl/fl","p21","female/male"
"5",41.0849270370706,318.136499592133,"070316-B1","MAX_070316-M91-B1-HO_c012","Mafb-fl/fl","p21","female/male"
"6",26.1896129792441,224.780204840025,"070316-B3","MAX_070316-M91-B3-HE_c005","Mafb-fl/+","p21","female/male"
"7",37.3126076316505,327.20021752923,"070316-B3","MAX_070316-M91-B3-HE_c009","Mafb-fl/+","p21","female/male"
"8",67.7494788362186,340.795794434877,"070316-B3","MAX_070316-M91-B3-HE_c011","Mafb-fl/+","p21","female/male"
"9",49.8622314873561,283.694371431161,"070316-B3","MAX_070316-M91-B3-HE_c012","Mafb-fl/+","p21","female/male"
"10",35.6892957491163,283.694371431161,"160316-6A","MAX_160316-M83-6A-HO_c001","Mafb-fl/fl","p21","female/male"
"11",35.8361279796973,315.417384211003,"160316-6A","MAX_160316-M83-6A-HO_c006","Mafb-fl/fl","p21","female/male"
"12",16.3418834405873,300.915435511647,"160316-6A","MAX_160316-M83-6A-HO_c009","Mafb-fl/fl","p21","female/male"
"13",81.4103145110124,317.230127798423,"210216-B1andB2","MAX_210216-M91-B1-HE_c002","Mafb-fl/+","p21","female/male"
"14",22.1109399075501,305.447294480196,"210216-B1andB2","MAX_210216-M91-B1-HE_c004","Mafb-fl/+","p21","female/male"
"15",13.1215444575365,341.702166228587,"210216-B1andB2","MAX_210216-M91-B1-HE_c008","Mafb-fl/+","p21","female/male"
"16",25.009516903834,324.481102148101,"210216-B1andB2","MAX_210216-M91-B2-HE_c001","Mafb-fl/+","p21","female/male"
"17",26.111665004985,345.327653403426,"210216-B1andB2","MAX_210216-M91-B2-HE_c003","Mafb-fl/+","p21","female/male"
"18",22.923049034714,410.58642255053,"210216-B1andB2","MAX_210216-M91-B2-HE_c006","Mafb-fl/+","p21","female/male"
"19",19.2948427444938,440.496691742953,"210216-B1andB2","MAX_210216-M91-B2-HE_c007","Mafb-fl/+","p21","female/male"
"20",58.5588688480015,291.851717574549,"210216-B1andB2","MAX_210216-M91-B2-HE_c009","Mafb-fl/+","p21","female/male"
"21",24.0306353666274,313.604640623584,"210216-B1andB2","MAX_210216-M91-B2-HE_c010","Mafb-fl/+","p21","female/male"
"22",36.474213722469,183.087102329376,"210216-B3n4n7","MAX_210216-M91-B3-HO_c003","Mafb-fl/fl","p21","female/male"
"23",17.7340705157256,212.997371521798,"210216-B3n4n7","MAX_210216-M91-B3-HO_c005","Mafb-fl/fl","p21","female/male"
"24",25.0793075319496,390.646243088915,"210216-B3n4n7","MAX_210216-M91-B3-HO_c006","Mafb-fl/fl","p21","female/male"
"25",35.0711501858062,319.042871385842,"210216-B3n4n7","MAX_210216-M91-B3-HO_c007","Mafb-fl/fl","p21","female/male"
"26",23.3762349315689,336.263935466328,"210216-B3n4n7","MAX_210216-M91-B3-HO_c009","Mafb-fl/fl","p21","female/male"
"27",36.9020212091,230.218435602284,"210216-B3n4n7","MAX_210216-M91-B4-HO_c003","Mafb-fl/fl","p21","female/male"
"28",31.4293483186803,288.22623039971,"210216-B3n4n7","MAX_210216-M91-B4-HO_c004","Mafb-fl/fl","p21","female/male"
"29",21.5634913441494,177.648871567117,"210216-B3n4n7","MAX_210216-M91-B4-HO_c007","Mafb-fl/fl","p21","female/male"
"30",29.1298830780386,290.945345780839,"210216-B3n4n7","MAX_210216-M91-B7-HO_c002","Mafb-fl/fl","p21","female/male"
"31",25.5107405057555,320.855614973262,"220316-1n2n6A","MAX_220316-M91-1A-HE_c005","Mafb-fl/+","p21","female/male"
"32",16.6192332094625,251.971358651319,"220316-1n2n6A","MAX_220316-M91-1A-HE_c006","Mafb-fl/+","p21","female/male"
"33",22.5305900480377,472.219704522795,"220316-1n2n6A","MAX_220316-M91-2A-HE_c001","Mafb-fl/+","p21","female/male"
"34",26.1388561587963,311.791897036164,"220316-1n2n6A","MAX_220316-M91-2A-HE_c005","Mafb-fl/+","p21","female/male"
"35",18.6513187709599,311.791897036164,"220316-1n2n6A","MAX_220316-M91-6A-HE_c002","Mafb-fl/+","p21","female/male"
"36",26.1234478383033,300.009063717937,"220316-1n2n6A","MAX_220316-M91-6A-HE_c005","Mafb-fl/+","p21","female/male"
"37",20.708782742681,282.787999637451,"220316-1n2n6A","MAX_220316-M91-6A-HE_c006","Mafb-fl/+","p21","female/male"
"38",29.881265295024,367.080576452461,"220316-1n2n6A","MAX_220316-M91-6A-HE_c010","Mafb-fl/+","p21","female/male"
"39",25.4509199673706,335.357563672619,"220316-1n2n6A","MAX_220316-M91-6A-HE_c013","Mafb-fl/+","p21","female/male"
"40",16.7379679144385,213.903743315508,"220316-1n2n6A","MAX_220316-M91-6A-HE_c014","Mafb-fl/+","p21","female/male"
